
Time; Magnitude; Temperature; Reference Altitude; Current Altitude; Pressure; Ejected?
25; 1.01; 28.8; 0.00; 0.09; 1018.83; No
25; 1.01; 29.3; 0.00; 0.00; 1018.84; No
25; 1.02; 28.8; 0.00; 0.04; 1018.85; No
25; 1.01; 29.3; 0.00; -0.01; 1018.87; No
25; 1.01; 28.8; 0.00; 0.29; 1018.76; No
25; 1.01; 29.3; 0.00; 0.09; 1018.82; No
25; 1.01; 29.3; 0.00; 0.05; 1018.85; No
26; 1.01; 29.3; 0.00; 0.13; 1018.82; No
26; 1.01; 29.3; 0.00; 0.02; 1018.86; No
26; 1.02; 28.8; 0.00; 0.08; 1018.83; No
26; 1.01; 29.3; 0.00; 0.09; 1018.83; No
26; 1.01; 29.3; 0.00; 0.10; 1018.83; No
26; 1.02; 29.3; 0.00; 0.56; 1018.66; No
26; 1.00; 29.3; 0.00; 0.14; 1018.84; No
26; 1.01; 28.8; 0.00; 0.10; 1018.83; No
26; 1.01; 29.3; 0.00; 0.05; 1018.85; No
26; 1.01; 29.3; 0.00; 0.92; 1018.53; No
27; 1.01; 28.8; 0.00; 0.01; 1018.86; No
27; 1.01; 28.8; 0.00; 0.02; 1018.85; No
27; 1.01; 29.3; 0.00; 0.02; 1018.86; No
27; 1.01; 28.8; 0.00; 0.04; 1018.85; No
27; 1.01; 37.1; 0.00; 0.08; 1018.83; No
27; 1.01; 28.8; 0.00; 0.07; 1018.82; No
27; 1.01; 29.3; 0.00; 0.06; 1018.84; No
27; 1.02; 29.3; 0.00; 0.07; 1018.84; No
27; 1.01; 29.3; 0.00; 0.05; 1018.85; No
27; 1.00; 29.3; 0.00; 0.04; 1018.85; No
28; 1.01; 29.3; 0.00; -0.02; 1018.87; No
28; 1.02; 29.3; 0.00; 0.15; 1018.81; No
28; 1.01; 29.3; 0.00; 0.02; 1018.85; No
28; 1.01; 28.8; 0.00; 0.06; 1018.83; No
28; 1.01; 28.8; 0.00; 0.03; 1018.85; No
28; 1.01; 29.3; 0.00; 0.07; 1018.84; No
28; 1.01; 28.8; 0.00; 0.11; 1018.82; No
28; 1.01; 29.3; 0.00; 0.03; 1018.86; No
28; 1.01; 29.3; 0.00; 0.06; 1018.84; No
28; 1.01; 29.3; 0.00; 0.01; 1018.86; No
29; 1.01; 28.8; 0.00; 0.12; 1018.82; No
29; 1.01; 28.8; 0.00; 0.01; 1018.85; No
29; 1.01; 28.8; 0.00; 0.03; 1018.85; No
29; 1.01; 29.3; 0.00; 0.07; 1018.84; No
29; 1.01; 29.3; 0.00; 0.50; 1018.68; No
29; 1.01; 29.3; 0.00; 0.11; 1018.83; No
29; 1.01; 29.3; 0.00; 0.08; 1018.83; No
29; 1.01; 29.3; 0.00; 0.02; 1018.86; No
29; 1.01; 28.8; 0.00; 1.51; 1018.32; No
29; 1.01; 29.3; 0.00; 0.05; 1018.84; No
29; 1.01; 28.8; 0.00; 0.04; 1018.85; No
30; 1.01; 29.3; 0.00; 0.13; 1018.82; No
30; 1.01; 28.8; 0.00; 1.65; 1018.27; No
30; 1.01; 29.3; 0.00; 0.03; 1018.85; No
30; 1.00; 29.3; 0.00; 0.06; 1018.84; No
30; 1.00; 29.3; 0.00; 0.05; 1018.85; No
30; 1.02; 29.3; 0.00; 0.51; 1018.68; No
30; 1.01; 28.8; 0.00; 0.12; 1018.82; No
30; 1.01; 29.3; 0.00; 0.01; 1018.86; No
30; 1.01; 28.8; 0.00; -0.05; 1018.88; No
30; 1.01; 29.3; 0.00; 0.03; 1018.85; No
31; 1.01; 28.8; 0.00; 0.04; 1018.85; No
31; 1.01; 28.8; 0.00; 0.03; 1018.84; No
31; 1.01; 28.8; 0.00; 0.04; 1018.85; No
31; 1.01; 28.8; 0.00; 0.04; 1018.85; No
31; 1.01; 29.3; 0.00; 0.03; 1018.85; No
31; 1.01; 29.3; 0.00; 0.04; 1018.84; No
31; 1.00; 29.3; 0.00; 0.02; 1018.86; No
31; 1.01; 29.3; 0.00; 0.01; 1018.86; No
31; 1.01; 29.3; 0.00; 0.06; 1018.84; No
31; 1.01; 28.8; 0.00; 0.04; 1018.82; No
32; 1.01; 29.3; 0.00; 0.01; 1018.86; No
32; 1.01; 29.3; 0.00; -0.02; 1018.87; No
32; 1.01; 29.3; 0.00; 1.18; 1018.44; No
32; 1.01; 29.3; 0.00; 0.07; 1018.85; No
32; 1.02; 28.8; 0.00; 0.08; 1018.83; No
32; 1.01; 29.3; 0.00; 0.05; 1018.84; No
32; 1.01; 28.8; 0.00; 0.90; 1018.54; No
32; 1.01; 28.8; 0.00; 0.07; 1018.88; No
32; 1.01; 28.8; 0.00; 0.04; 1018.85; No
32; 1.01; 28.8; 0.00; -0.00; 1018.86; No
33; 1.01; 28.8; 0.00; 0.34; 1018.74; No
33; 1.01; 28.8; 0.00; 0.03; 1018.84; No
33; 1.01; 29.3; 0.00; 0.06; 1018.84; No
33; 1.01; 29.3; 0.00; 0.02; 1018.86; No
33; 1.00; 28.8; 0.00; 0.05; 1018.85; No
33; 1.01; 29.3; 0.00; -0.03; 1018.87; No
33; 1.01; 28.8; 0.00; -0.06; 1018.88; No
33; 1.01; 28.8; 0.00; 0.03; 1018.85; No
33; 1.00; 28.8; 0.00; 0.04; 1018.85; No
33; 1.01; 29.3; 0.00; 0.06; 1018.84; No
34; 1.01; 28.8; 0.00; 0.02; 1018.87; No
34; 1.01; 29.3; 0.00; 0.02; 1018.86; No
34; 1.01; 29.3; 0.00; -0.05; 1018.88; No
34; 1.01; 28.8; 0.00; 0.05; 1018.85; No
34; 1.01; 28.8; 0.00; 0.04; 1018.88; No
34; 1.01; 29.3; 0.00; 0.02; 1018.86; No
34; 1.01; 28.8; 0.00; -0.02; 1018.87; No
34; 1.01; 28.8; 0.00; -0.05; 1018.88; No
34; 1.02; 28.8; 0.00; -0.05; 1018.89; No
34; 1.02; 28.8; 0.00; 0.06; 1018.84; No
35; 1.01; 29.3; 0.00; 0.06; 1018.84; No
35; 1.01; 28.8; 0.00; 0.06; 1018.84; No
35; 1.01; 28.8; 0.00; 0.07; 1018.87; No
35; 1.01; 28.8; 0.00; 0.08; 1018.83; No
35; 1.00; 29.3; 0.00; 0.13; 1018.82; No
35; 1.02; 28.8; 0.00; 0.27; 1018.76; No
35; 1.01; 29.3; 0.00; 0.00; 1018.85; No
35; 1.01; 28.8; 0.00; -0.02; 1018.87; No
35; 1.01; 28.8; 0.00; 0.02; 1018.86; No
35; 1.01; 29.3; 0.00; 1.83; 1018.20; No
36; 1.01; 29.3; 0.00; -0.08; 1018.87; No
36; 1.01; 29.3; 0.00; -0.02; 1018.87; No
36; 1.00; 29.3; 0.00; -0.00; 1018.86; No
36; 1.00; 28.8; 0.00; 0.69; 1018.62; No
36; 1.01; 28.8; 0.00; 0.04; 1018.85; No
36; 1.00; 28.8; 0.00; 0.07; 1018.84; No
36; 1.01; 28.8; 0.00; 0.09; 1018.83; No
36; 1.01; 28.8; 0.00; 0.19; 1018.80; No
36; 1.01; 29.3; 0.00; -0.01; 1018.87; No
36; 1.01; 29.3; 0.00; 0.04; 1018.85; No
37; 1.01; 28.8; 0.00; 0.06; 1018.84; No
37; 1.01; 28.8; 0.00; -0.04; 1018.88; No
37; 1.01; 28.8; 0.00; -0.01; 1018.87; No
37; 1.01; 54.3; 0.00; -0.05; 1018.87; No
37; 1.01; 28.8; 0.00; -0.01; 1018.87; No
37; 1.01; 28.8; 0.00; -0.05; 1018.88; No
37; 1.01; 28.8; 0.00; -0.01; 1018.87; No
37; 1.02; 29.3; 0.00; -0.04; 1018.87; No
